size_it,month_end,secid,value_it,illiq_amihud_m,value_x_inflhigh,illiq_x_stress,MOM,mkt_vol,state_infl_high,state_dd_stress,target_q_fwd_clean
22.709715370830487,2016-10-31,ABRD,-1.1922003422393632,1.843931849489829e-07,-0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.26608840923519006
25.73923533079878,2016-10-31,AFKS,0.49165983508982114,9.866532435434805e-11,0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.2402075226977951
25.407146310281142,2016-10-31,AFLT,-0.2969725963317058,3.951919401344524e-11,-0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.34028472489419026
25.094362627937393,2016-10-31,AKRN,-1.033305913661483,6.673845418868392e-10,-0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.16999999999999993
21.41580270556667,2016-10-31,ALBK,,2.199913493435764e-05,,0.0,0.038508737,0.06887083402991892,0.0,0.0,-0.1751269035532994
25.4404370551555,2016-10-31,ALNU,-2.376285643036743,7.7085737856114e-08,-0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.016967576022694164
26.59253198526269,2016-10-31,ALRS,0.21117061790659114,1.153288481231153e-11,0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.19300225733634302
20.668021501473497,2016-10-31,AMEZ,2.349154207315772,2.928218951341788e-08,0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.42287234042553146
23.055560852549153,2016-10-31,APTK,-0.030889017467909508,1.557962173317579e-09,-0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,-0.03886255924170623
22.063162056423025,2016-10-31,AQUA,0.48584027080145914,8.566980088707593e-07,0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.33333333333333326
19.47003145446349,2016-10-31,ARSA,-0.3751417309714317,1.706131186427361e-07,-0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.3604436229205177
19.318599925171327,2016-10-31,ASSB,-1.422336758504418,4.328887975343049e-06,-0.0,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.22025316455696187
23.58427542713273,2016-10-31,AVAN,,1.160270502977316e-05,,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.3513513513513511
23.578948277198677,2016-10-31,AVAZ,,8.765156460452657e-09,,0.0,0.038508737,0.06887083402991892,0.0,0.0,0.23165618448637315
